Hour,DayOfWeek,Temperature,Energy_kWh
6,2,27,28.16076277
19,1,36,56.37239478
14,2,25,16.42194852
10,6,19,16.06133477
7,4,15,23.12439793
20,1,38,60.25892589
6,6,17,5.019925165
18,5,36,60.56223935
22,3,33,11.92131611
10,6,37,49.55388692
10,2,21,47.96811469
23,1,26,27.26038353
20,2,29,43.07241115
3,1,39,26.66972031
7,6,19,33.59496405
23,0,29,9.082476601
2,5,22,6.467807675
21,6,24,7.596631779
20,2,30,39.99644072
1,3,22,17.39965726
23,3,15,32.99178031
11,4,26,49.65990302
5,1,19,22.38454279
1,2,17,30.82285643
20,4,15,38.70217532
0,2,18,43.12722505
11,1,22,45.60063816
21,6,17,44.48100255
11,6,24,48.84675074
16,3,16,6.238363331
9,6,25,57.7917273
15,6,39,38.82974779
14,0,24,15.29124842
14,3,35,48.0344042
18,4,28,26.66800677
11,5,21,35.57974672
22,0,16,15.12005976
19,4,23,39.41212919
2,1,30,37.36219536
4,0,27,30.34960889
18,4,23,39.23758241
6,1,34,19.68522939
20,3,18,57.78468451
8,5,36,26.47164576
6,1,24,24.35462944
17,6,36,45.66909073
3,2,26,43.06322977
13,1,31,23.04237931
17,1,28,39.33987636
8,5,28,57.04223738
20,2,39,59.99993408
1,6,16,29.50275961
19,4,35,29.20073987
14,4,39,16.48890844
6,1,34,18.30626033
11,2,25,31.72111164
7,2,30,6.476433086
14,6,33,33.6219111
2,5,37,21.39594073
13,3,20,18.28588111
16,4,38,44.57734568
3,5,33,25.7001078
17,0,19,9.277387049
7,4,18,42.20360456
3,5,29,7.143856585
1,4,18,37.70371509
5,3,34,39.82577998
21,0,24,20.86711727
9,3,38,57.11545353
3,6,36,28.20467326
21,0,17,25.8482144
17,1,19,7.043147666
11,5,20,18.05131371
1,0,35,46.89544869
9,6,36,37.63207835
3,6,22,29.60152343
13,3,21,28.94097555
15,4,35,31.56939904
14,0,24,7.759893004
7,5,20,21.29793147
13,0,28,37.54077232
22,2,18,14.0252113
7,4,39,14.16102699
20,5,27,20.4540773
15,5,34,24.6866867
12,1,31,44.72304713
17,3,37,7.335542461
14,1,21,13.60034193
20,5,18,33.95380423
23,4,28,37.92761315
12,0,17,33.82860168
8,0,38,38.71747571
14,4,19,39.15810227
12,5,30,32.43339552
0,6,37,45.32183598
6,0,34,41.81120371
8,6,18,31.37661227
